date,O,H,L,C,IBH,IBL,vol,u_var,d_var,first,last,PnL
2021-08-26,15349.25,15365.0,15255.25,15326.75,15349.5,15337.0,0.005770614801432212,7747.831249999974,1343.9812499999375,1383896,1384211,14.57285190939183
2021-09-02,15647.0,15682.0,15570.75,15579.0,15657.75,15646.75,0.00640392518614654,4191.4812499999725,1625.4687499999418,1390796,1391111,-3.61581561951607
2021-09-03,15626.25,15677.5,15552.25,15656.5,15630.25,15616.75,0.006328606493649285,3921.081249999973,1802.1687499999439,1392176,1392491,67.05706689676845
2021-09-14,15424.0,15524.25,15386.25,15421.5,15431.5,15394.75,0.006599040096292905,1345.8249999999734,3693.706249999959,1401589,1401904,60.08225973281242
2021-09-22,15064.75,15204.0,15014.75,15137.75,15082.25,15060.75,0.008326588642645714,2848.7687499999734,5446.043749999977,1409869,1410184,7.207222231374544
2021-09-23,15248.0,15347.0,15175.25,15345.0,15263.25,15222.0,0.008912861262677667,2733.062499999973,6353.8437499999745,1411249,1411564,17.65210812110854
2021-10-05,14523.0,14746.0,14495.5,14739.25,14541.0,14513.0,0.0123917643916893,6296.106249999973,10664.924999999981,1422289,1422604,-80.43319083708775
2021-10-06,14469.5,14705.0,14456.0,14690.25,14512.25,14456.0,0.012368243053098915,9962.706249999974,15074.074999999972,1423669,1423984,25.739632007481305
2021-10-25,15376.5,15507.0,15322.25,15490.25,15394.25,15374.25,0.012894729615706762,2772.8874999999744,3632.356249999955,1441608,1441923,-3.38957143791049
2021-10-26,15590.75,15701.0,15503.0,15559.25,15595.75,15576.75,0.01085006886977974,2715.6124999999747,3533.9562499999565,1442988,1443303,88.43537904669574
2021-11-01,15887.5,15888.0,15768.5,15825.5,15888.0,15850.5,0.009044947205643993,6051.8124999999745,2000.5749999999466,1448567,1448882,12.796738874690163
2021-11-08,16356.5,16394.0,16302.5,16367.5,16374.5,16344.75,0.006751757823948542,2730.3624999999747,565.1562499999407,1455466,1455781,35.516712593230295
2021-11-12,16067.0,16200.0,16001.75,16173.25,16089.5,16060.0,0.007911993644957628,2185.549999999974,8210.20624999997,1460986,1461301,-2.1026786975598952
2021-11-16,16196.5,16323.75,16142.0,16309.0,16214.75,16142.0,0.007743637051609089,3454.9687499999736,7634.29374999997,1463746,1464061,1.1880615927329927
2021-11-22,16639.5,16767.5,16455.25,16570.75,16662.0,16633.75,0.007222758083814297,531.9812499999737,3828.4874999999533,1469266,1469581,117.80278664646903
2021-11-29,16194.5,16419.0,16194.5,16402.25,16258.0,16194.5,0.011341424075814866,5922.331249999974,12149.956249999972,1475701,1476016,-8.684877754109039
2021-12-02,15837.0,16061.25,15762.75,15996.75,15863.5,15790.75,0.011321719864079495,5180.137499999974,12721.987499999981,1479841,1480156,25.9783005603158
2021-12-07,16134.25,16344.25,16097.5,16297.0,16154.0,16097.5,0.014878842857607105,5735.456249999975,32258.387499999997,1483981,1484296,24.752879808187572
2021-12-17,15699.0,15956.5,15651.75,15864.5,15741.0,15688.5,0.014949202293187979,12308.981249999973,38257.518750000025,1495016,1495331,29.39057742433397
2021-12-21,15787.25,15974.5,15605.0,15973.25,15806.75,15758.5,0.015894716176758975,8657.606249999973,47224.3875,1497776,1498091,10.693453416997727
2021-12-22,15932.5,16140.75,15909.0,16115.0,15965.75,15909.0,0.015993977339027774,9404.906249999973,54444.35624999999,1499156,1499471,68.83596283820043
2021-12-27,16374.25,16557.0,16344.5,16541.25,16385.0,16344.75,0.015636064406159396,1530.5624999999723,4518.043749999945,1501914,1502229,15.418007757016312
2022-01-06,15707.5,15895.75,15598.5,15818.25,15732.0,15677.5,0.012126593365778258,5053.893749999972,19578.581249999992,1512952,1513267,17.421864119553902
2022-01-11,15650.25,15837.5,15475.0,15810.75,15668.0,15543.75,0.013509996812520757,4641.418749999972,7009.468749999998,1517092,1517407,-19.670508412524214
2022-01-14,15363.25,15600.5,15322.25,15497.5,15400.5,15322.25,0.013053086182854941,4164.143749999972,12391.199999999983,1521232,1521547,-37.830643309767765
2022-01-25,14152.25,14400.25,14014.0,14390.25,14231.0,14143.75,0.014197169580470272,7463.887499999971,27320.5125,1530652,1530967,-15.256188131412273
2022-01-26,14483.5,14639.75,14191.5,14263.25,14487.25,14420.0,0.014103116553978987,5361.518749999971,27835.800000000007,1532032,1532347,206.5356393625243
2022-01-28,13880.0,14312.0,13860.25,14212.25,14071.5,13879.5,0.014999619233317142,21094.324999999968,34348.45625,1534792,1535107,-38.355099345477356
2022-03-01,14177.25,14273.0,13964.25,14000.75,14210.0,14158.5,0.01883570386786198,88426.07499999997,29018.018749999967,1564911,1565226,76.84809639545165
2022-03-11,13769.75,13774.5,13403.25,13423.75,13774.5,13707.75,0.017171827674722903,21618.49999999997,16109.956249999985,1575951,1576266,-90.0575971996459
2022-03-14,13263.75,13392.5,13025.0,13081.75,13322.25,13248.75,0.01790777760201058,21651.29374999997,11951.112499999976,1577331,1577646,-7.834913962267819
2022-03-15,13097.75,13404.75,13087.5,13377.0,13184.5,13094.5,0.017853095125019005,12294.89374999997,19135.799999999963,1578711,1579026,-58.59464890528034
